"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","010730023","1","16.5","ppb","15","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/02/2023","AQS","010730023","1","9.6","ppb","8","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/03/2023","AQS","010730023","1","9.9","ppb","8","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/04/2023","AQS","010730023","1","29.6","ppb","27","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/06/2023","AQS","010730023","1","31.8","ppb","29","North Birmingham","21","88.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/07/2023","AQS","010730023","1","21.4","ppb","20","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/08/2023","AQS","010730023","1","8.4","ppb","8","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/09/2023","AQS","010730023","1","30.2","ppb","28","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/10/2023","AQS","010730023","1","29.2","ppb","27","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/11/2023","AQS","010730023","1","18.7","ppb","17","North Birmingham","22","92.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/12/2023","AQS","010730023","1","11.6","ppb","10","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/14/2023","AQS","010730023","1","25.6","ppb","24","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/15/2023","AQS","010730023","1","31.8","ppb","29","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/16/2023","AQS","010730023","1","27.6","ppb","25","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/17/2023","AQS","010730023","1","24.6","ppb","23","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/18/2023","AQS","010730023","1","16.7","ppb","15","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/19/2023","AQS","010730023","1","24.3","ppb","23","North Birmingham","21","88.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/20/2023","AQS","010730023","1","16.8","ppb","15","North Birmingham","21","88.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
