"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AirNow","010030010","3","1.4","ug/m3 LC","8","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","","","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/02/2023","AirNow","010030010","3","0.9","ug/m3 LC","5","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","","","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/03/2023","AirNow","010030010","3","4.7","ug/m3 LC","26","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","","","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/04/2023","AirNow","010030010","3","1.1","ug/m3 LC","6","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","","","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/05/2023","AirNow","010030010","3","1.7","ug/m3 LC","9","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","","","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/10/2023","AQS","010030010","3","8.5","ug/m3 LC","47","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/11/2023","AQS","010030010","3","6.8","ug/m3 LC","38","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/12/2023","AQS","010030010","3","5.4","ug/m3 LC","30","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/13/2023","AQS","010030010","3","4.3","ug/m3 LC","24","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/14/2023","AQS","010030010","3","4.9","ug/m3 LC","27","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/15/2023","AQS","010030010","3","9.8","ug/m3 LC","52","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/16/2023","AQS","010030010","3","4.7","ug/m3 LC","26","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/17/2023","AQS","010030010","3","3.3","ug/m3 LC","18","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/18/2023","AQS","010030010","3","5.6","ug/m3 LC","31","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/19/2023","AQS","010030010","3","6.1","ug/m3 LC","34","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/20/2023","AQS","010030010","3","3.5","ug/m3 LC","19","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/21/2023","AQS","010030010","3","4.6","ug/m3 LC","26","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/22/2023","AQS","010030010","3","4.2","ug/m3 LC","23","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"01/23/2023","AQS","010030010","3","4.3","ug/m3 LC","24","FAIRHOPE, Alabama","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
