"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","011179001","1","0.4","ppb","0","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"01/02/2023","AQS","011179001","1","0.5","ppb","0","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"01/03/2023","AQS","011179001","1","0.3","ppb","0","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"01/04/2023","AQS","011179001","1","0.6","ppb","0","Lhoist, Montevallo Plant","22","92.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"01/05/2023","AQS","011179001","1","0.8","ppb","0","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"01/06/2023","AQS","011179001","1","0.7","ppb","0","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"01/07/2023","AQS","011179001","1","1.3","ppb","1","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"01/08/2023","AQS","011179001","1","0.2","ppb","0","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"01/09/2023","AQS","011179001","1","1.8","ppb","1","Lhoist, Montevallo Plant","22","92.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"01/10/2023","AQS","011179001","1","1.3","ppb","1","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
