"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","010499991","1","0.039","ppm","36","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/02/2023","AQS","010499991","1","0.025","ppm","23","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/03/2023","AQS","010499991","1","0.027","ppm","25","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/04/2023","AQS","010499991","1","0.04","ppm","37","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/05/2023","AQS","010499991","1","0.042","ppm","39","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/07/2023","AQS","010499991","1","0.034","ppm","31","Sand Mountain","16","94.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/08/2023","AQS","010499991","1","0.032","ppm","30","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/09/2023","AQS","010499991","1","0.035","ppm","32","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/10/2023","AQS","010499991","1","0.037","ppm","34","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/11/2023","AQS","010499991","1","0.027","ppm","25","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/12/2023","AQS","010499991","1","0.032","ppm","30","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/13/2023","AQS","010499991","1","0.025","ppm","23","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/14/2023","AQS","010499991","1","0.032","ppm","30","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/15/2023","AQS","010499991","1","0.035","ppm","32","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/16/2023","AQS","010499991","1","0.038","ppm","35","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/17/2023","AQS","010499991","1","0.033","ppm","31","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/18/2023","AQS","010499991","1","0.035","ppm","32","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/19/2023","AQS","010499991","1","0.042","ppm","39","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/20/2023","AQS","010499991","1","0.03","ppm","28","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/21/2023","AQS","010499991","1","0.034","ppm","31","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/22/2023","AQS","010499991","1","0.028","ppm","26","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/23/2023","AQS","010499991","1","0.034","ppm","31","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"01/24/2023","AQS","010499991","1","0.033","ppm","31","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
